Date,Origin,Transaction Type,Currency,Transaction Amount,Description,URL
2016-01,Google Inc.,unrestricted gift,EUR,"45492,55",Unrestricted gift to develop on Measurement Kit an easy-to-use wrapper around native client software tests that allows deployment of mobile Internet Performance testing.,http://nexa.polito.it/neubot ; http://neubot.org/ 
2016-01,Telecom Italia S.p.A.,grant,EUR,10000,TellMeFirst - A Knowledge Discovery Application  - research project,http://tellmefirst.polito.it 
2016-02,Regesta,grant,EUR,8000,Public Contracts – research project,https://nexa.polito.it/public-contracts
2016-02,CSI Piemonte ,grant,EUR,739,Final payment for the participation in Open-DAI – Opening Data Architectures and Infrastructures of European Public Administrations,http://nexa.polito.it/open-dai ; http://www.open-dai.eu/  
2016-04,ETHNIKO IDRYMA EREVNON,grant,EUR,"26906,92",Interim payment for the participation of PASTEUR4OA – Open Access Policy Alignment Strategies For European Union Research,https://nexa.polito.it/pasteur4oa; http://www.pasteur4oa.eu/ 
2016-04,eBay Inc. ,unrestricted gift,EUR,"17181,4",Unrestricted gift to Ownership in the Internet of Things,https://nexa.polito.it/iot
2016-06,CSI Piemonte ,grant,EUR,25000,SmartDataNet - research project,N/A
2016-06,Foudation P&P,unrestricted gift,EUR,6000,Unrestricted gift for supporting on Nexa Research Activity ,N/A
2016-07,Google Belgium,unrestricted gift,EUR,35000,Unrestricted gift for supporting Nexa on copyright and internet freedoms,N/A
2016-08,Compagnia di San Paolo,grant,EUR,20000,Global Network of Interdisciplinary Internet & Society Research Centers (NoC),https://nexa.polito.it/noc ; http://www.networkofcenters.net
2016-08,eBay Inc.,unrestricted gift,EUR,"27043,92",Unrestricted gift to Ownership in the Internet of Things,https://nexa.polito.it/iot
2016-08,Regione Piemonte,grant,EUR,"15564,26",Payment for the participation of MAPO,https://nexa.polito.it/Mapo
2016-10,Università degli Studi del Piemonte Orientale (UPO),grant,EUR,2600,Master Open Source,http://bit.ly/2lLLss3
2016-11,Centre for Research and Technology Hellas ,grant,EUR,"33253,1",Final payment for the participation of EINS – the European Network of Excellence in Internet Science,https://nexa.polito.it/eins ;  http://www.internet-science.eu/
2016-12,GEIE ERCIM (W3C),grant,EUR,4001,Interim payment for the participation of the SHARE PSI 2.0 - The network for innovation in European public sector information,https://nexa.polito.it/share-psi-2.0 ; https://www.w3.org/2013/share-psi/
2016-12,NESTA,grant,EUR,"138843,75",Interim payment for the participation of  DECODE (Decentralised Citizens Owned Data Ecosystem),"http://nexa.polito.it/decode; www.decodeproject.eu

"
2016-12,Telecom Italia S.p.A.,grant,EUR,10000,TellMeFirst - A Knowledge Discovery Application - research project,http://tellmefirst.polito.it 
