Origin of the funding,Description,Amount used in 2023,Currency,URL 1,URL 2
Agenzia Nazionale Erasmus Plus Indire,Participation in StrategyHack - Hacking Institutional Strategy for Rapidly Deployed Digital Education,4.400,EUR,https://nexa.polito.it/StrategyHack,https://strategyhack.eu/
Consiglio Nazionale delle Ricerche (CNR),Participation in SIFIS HOME - Secure Interoperable Full-Stack Internet of Things for Smart Home,10.500,EUR,https://www.sifis-home.eu/,N/A
Veneto Lavoro,Participation in CLIKC - Content and Language Integrated learning for Key Competences,4.900,EUR,https://nexa.polito.it/CLIKC,https://clikc.eu/
Past projects leftover,Past projects leftover,51.500,EUR,N/A,N/A
TIM S.p.A.,"Generative AI and liability of developers, providers and users",3.400,EUR,https://nexa.polito.it/generative-ai-and-liability/,N/A
TIM S.p.A.,The Metaverse and its opportunities,17.200,EUR,https://nexa.polito.it/metaverse-and-its-opportunities/,N/A
P&R Foundation ,Unrestricted gift to support the activities of the Nexa Center,12.300,EUR,N/A,N/A
Politecnico di Torino,Research Ph.D.,26.700,EUR,N/A,N/A
Politecnico di Torino,Research funding by Politecnico di Torino,7.700,EUR,N/A,N/A
Politecnico di Torino,Contribution in kind (mainly personnel effort),98.900,EUR,N/A,N/A
Marco Ricolfi,Contribution in kind,30.000,EUR,N/A,N/A
